 ,α=0.0,α=0.2,α=0.4,α=0.6,α=0.8,α=1.0,α=1.2,α=1.4,α=1.6,α=1.8,α=2.0,α=2.2,α=2.4,α=2.6,α=2.8
pdf 1 in pdf 1,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdf 1 in pdf 2,0.0,0.0662,0.0594,0.061,0.0633,inf,0.0638,0.0623,0.0599,0.057,0.0538,0.0504,0.0468,0.0433,0.0398
pdf 1 in pdf 3,0.0,0.1481,0.1481,0.1574,0.1642,inf,0.1656,0.1618,0.156,0.1488,0.1408,0.1321,0.1232,0.1142,0.1052
pdf 1 in pdf 4,0.0,0.2101,0.2276,0.2465,0.2577,inf,0.2572,0.2489,0.2372,0.2231,0.2074,0.1909,0.174,0.1571,0.1405
pdf 1 in pdf 5,0.0,0.2707,0.3017,0.3271,0.3399,inf,0.3325,0.3173,0.2971,0.2737,0.2483,0.2219,0.1955,0.1697,0.1449
pdf 1 in pdf 6,0.0,0.3196,0.363,0.3954,0.409,inf,0.3915,0.3675,0.3371,0.3027,0.2664,0.2296,0.1936,0.1593,0.1271
pdf 1 in pdf 7,0.0,0.3638,0.4197,0.456,0.4684,inf,0.4387,0.4054,0.3647,0.3198,0.2733,0.2273,0.1832,0.1421,0.1043
pdf 1 in pdf 8,0.0,0.4195,0.472,0.5075,0.517,inf,0.4734,0.4305,0.3796,0.3246,0.2688,0.2148,0.1641,0.1176,0.0757
pdf 1 in pdf 9,0.0,0.4426,0.5116,0.5502,0.5569,inf,0.4995,0.4474,0.3871,0.3233,0.2598,0.1995,0.1438,0.0936,0.049
